SMILES,E0
Cc1ccc2ccccc2c1,-1485.97616
c1ccc2ccccc2c1C,-1485.94114
CCc1ccc2ccccc2c1,-1635.91371
c1ccc2c(C)cccc2c1C,-1636.0481
Cc1c(C)cc2ccccc2c1,-1636.08916
c1ccc2cccc3c2c1C=C3,-1580.57487
c1cc(C)c2ccccc2c1C,-1636.04181
Cc1ccc2cc(C)ccc2c1,-1636.12653
c1ccc2cccc3c2c1CC3,-1608.68612
c1cc(C)c2c(C)cccc2c1C,-1785.94426
c(c(c(c(c1)ccc2)c2)ccc3)(c1)c3,-1854.14466
c(c(c(c(c1ccc2)c2)C)ccc3)(c3)c1,-2003.95905
Cc1cc2cc3ccccc3cc2cc1,-2004.08799
c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34,-2099.9491
c(c(ccc1)ccc2)(c1c(c3ccc4)c4)c23,-2099.24449
c1c(CC3)c2c(C3)ccc(CC4)c2c(C4)c1,-2182.08377
C3c1ccccc1c4ccc2ccccc2c34,-2249.52814
c1ccc2c3cc4ccccc4cc3Cc2c1,-2249.59994
c1ccc2c3ccccc3c4ccccc4c2c1,-2372.42411
c(c(c(cc1)ccc2)c2cc3)(c3cc(c4ccc5)c5)c14,-2618.16356
c(c(c(c(c1)ccc2)c2)c(c(c3ccc4)c4)C)(c3C)c1,-2672.15184
c1ccc2c(c1)c4cccc5ccc3cccc2c3c45,-2618.26167
c(c(ccc1)ccc2)(c1c(c(c(cc3)ccc4)c45)c3)c25,-2618.09109
c16cccc2ccc3ccc4ccc5cccc6c5c4c3c12,-2864.15974
s(c(c(c1cccc2)ccc3)c3)c12,-1758.52753
n(c(c(ccc1)cc2cccc3)c1)c23,-1903.57507
c1ccc2nc3cccc(N)c3cc2c1,-2103.49156
Nc3ccc2cc1ccccc1cc2c3,-2053.89546
c1cc2cc3cc(CC)ccc3cc2cc1,-2154.02512
c12ccccc1cc3c4ccccc4c5c3c2ccc5,-2617.61748
c1ccc4c(c1)ccc5c2cccc3cccc(c23)c45,-2617.393
c2ccc1cc3c(cc1c2)c4cccc5cccc3c45,-2617.55073
c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3,-2890.66869
CI,-386.88252
ClCCl,-683.54386
BrCCl,-639.06045
ClC(Cl)Cl,-936.78382
ClC(Br)Cl,-892.25083
ClC(Br)Br,-847.7912
BrC(Br)Br,-803.39602
BrC(Br)(Br)Br,-1012.13986
CCBr,-535.91195
CCI,-536.87277
ClC(Cl)C,-833.87598
ClCCBr,-789.29219
BrCCBr,-744.76649
ClC(Cl)(Cl)C,-1087.24554
ClC(Cl)CCl,-1087.12696
ClC(Cl)(Cl)CCl,-1340.42362
ClC(Cl)(Cl)C(Cl)Cl,-1593.64252
ClC(Cl)(F)C(F)(F)Cl,-2443.92902
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88421
CC(Cl)C,-730.62188
CCCBr,-685.87753
CC(Br)C,-685.98027
CCCI,-686.82672
ClCCCCl,-983.86285
ClCC(Cl)C,-983.96122
BrCCCCl,-939.29999
BrCCCBr,-894.76679
BrCC(Br)CCl,-1148.15018
ClCC(Cl)CCl,-1237.28185
CCCCCl,-880.40123
CC(Cl)CC,-880.565
ICCCC,-836.73028
CC(C)CCl,-880.43906
CC(C)CBr,-835.86464
ClC(Cl)CCC,-1133.82922
CCCCCCl,-1030.32232
CC(Cl)CCC,-1030.55567
CCC(Cl)CC,-1030.58266
CC(C)(Cl)CC,-1030.73797
CC(C)(Cl)C(Cl)C,-1284.28615
CCCCCCCl,-1180.31104
CCCCCBr,-985.76968
CCCCCCBr,-1135.73336
C1CCCCC1Br,-1108.73341
FC(F)(F)C(Cl)Br,-2146.16023
FC(F)(C(F)(F)Cl)Cl,-2642.91504
C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,-2420.72781
CCCCCCCCl,-1330.23069
CCCCCCCI,-1286.63372
ClC(Cl)=C,-805.84302
ClC=CCl,-805.85122
IC=CI,-718.77837
ClC=C(Cl)Cl,-1059.16308
ClC(Cl)=C(Cl)Cl,-1312.44232
C=CCCl,-702.48455
ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,-3457.84366
ClC3=C(Cl)C4(Cl)C2C1CC(C=C1)C2C3(Cl)C4(Cl)Cl,-3181.70434
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-3475.83274
C=CCBr,-657.99415
C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl,-2214.49843
ClC(=C(C=C(Cl)Cl)Cl)Cl,-1838.24778
c1ccccc1F,-1269.80366
c1ccccc1Cl,-1071.14039
c1cc(I)ccc1F,-1479.66357
c1cc(Cl)ccc1Cl,-1324.66732
c1cccc(Cl)c1Cl,-1324.60123
c1ccc(Cl)cc1Cl,-1324.663
c1ccc(Cl)cc1Br,-1280.05887
c1cc(Cl)ccc1Br,-1280.06284
c1cc(Br)ccc1Br,-1235.45642
c1cccc(Br)c1Br,-1235.42741
c1cc(Cl)cc(Cl)c1Cl,-1578.08961
c1ccc(Cl)c(Cl)c1Cl,-1578.03628
c1c(Cl)cc(Cl)cc1Cl,-1578.1409
c1ccc(Br)c(Br)c1Br,-1444.29162
c1c(F)cc(F)c(F)c1F,-2626.09883
c1c(F)c(F)cc(F)c1F,-2626.07517
c1c(Cl)cc(Cl)c(Cl)c1Cl,-1831.49112
c1cc(Cl)c(Cl)c(Cl)c1Cl,-1831.44513
c1ccccc1I,-1027.4697
c1cc(Br)ccc1C,-1176.69358
c1cc(F)ccc1CCl,-1673.37838
c1cc(F)ccc1F,-1721.99092
c1ccc(Br)cc1C,-1176.69908
c1cccc(Cl)c1C,-1221.33102
c1ccccc1CCl,-1221.15499
c1cc(Cl)ccc1C,-1221.29996
c1ccccc1c2c(Cl)cccc2,-1861.98998
c1ccccc1c2cc(Cl)ccc2,-1861.95227
c1cc(Cl)ccc1c2ccc(Cl)cc2,-2115.52021
c1cccc(Cl)c1c2c(Cl)cccc2,-2115.60355
c1ccc(Cl)cc1c2cc(Cl)ccc2,-2115.51041
c1ccccc1c2cc(Cl)c(Cl)cc2,-2115.40979
c1ccccc1c2c(Cl)cc(Cl)cc2,-2115.5129
c1ccccc1c2c(Cl)cccc2Cl,-2115.55171
c1ccccc1c2c(Cl)cc(Cl)c(Cl)c2,-2368.93626
c1cc(Cl)ccc1c2c(Cl)ccc(Cl)c2,-2369.07235
c1ccccc1c2c(Cl)cc(Cl)cc2Cl,-2369.03361
c1ccc(Cl)cc1c2c(Cl)ccc(Cl)c2,-2369.06187
c1cc(Cl)ccc1c2c(Cl)c(Cl)ccc2,-2369.00869
c1cc(Cl)ccc1c2c(Cl)cc(Cl)cc2,-2369.07234
c1ccccc1c2c(Cl)c(Cl)ccc2Cl,-2368.98165
c1ccc(Cl)c(Cl)c1c2c(Cl)c(Cl)ccc2,-2622.50282
c1cc(Cl)c(Cl)cc1c2c(Cl)cc(Cl)cc2,-2622.51322
c1ccc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2,-2622.56579
c1cc(Cl)cc(Cl)c1c2c(Cl)ccc(Cl)c2,-2622.63022
c1c(Cl)ccc(Cl)c1c2c(Cl)ccc(Cl)c2,-2622.62639
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl,-2622.74165
c1cc(Cl)c(Cl)cc1c2c(Cl)ccc(Cl)c2,-2622.50982
c1cc(Cl)cc(Cl)c1c2c(Cl)cc(Cl)cc2,-2622.6331
c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)cc2,-2875.87645
Clc1cccc(Cl)c1c2c(Cl)cc(Cl)cc2Cl,-2876.21522
c1cc(Cl)c(Cl)cc1c2c(Cl)cc(Cl)c(Cl)c2,-2875.92484
c1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)cccc2,-2875.88642
Clc1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cccc2,-2875.99324
c1c(Cl)c(Cl)cc(Cl)c1c2c(Cl)cc(Cl)c(Cl)c2,-3129.45324
Clc1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)ccc2Cl,-3129.50784
Clc1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)cc(Cl)c2,-3129.44926
c1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cc(Cl)c(Cl)c2,-3129.40478
Clc1c(Cl)cc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2,-3129.48716
Clc1c(Cl)cc(Cl)cc1c2c(Cl)cc(Cl)cc2Cl,-3129.55662
c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)c(Cl)c2,-3129.27311
c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)cc2Cl,-3129.36911
c1ccc(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2,-3129.32666
Clc1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cc(Cl)c(Cl)c2,-3382.90309
c1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)cc2Cl,-3382.85642
c1c(Cl)ccc(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-3382.82226
c1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2,-3636.13929
c1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-3889.57276
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)cc(Cl)c2Cl,-3889.68064
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-4143.01452
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-2894.64584
c(c(ccc1Cl)ccc2)(c2)c1,-1589.38365
c1ccc2ccccc2c1Cl,-1589.38805
c1ccc2ccccc2c1Br,-1544.72249
CCCCO,-921.98571
CCC(O)C,-922.17208
OCC(C)C,-922.06369
CCCCCO,-1071.98588
CCC(O)CC,-1072.14818
CC(O)(CC)C,-1072.33441
CCC(C)CO,-1071.98811
OCCC(C)C,-1072.09498
OC(C(C)C)C,-1072.14507
CCCCCCO,-1221.92904
CCC(O)CCC,-1222.0466
CC(O)CCCC,-1222.15531
CCC(O)C(C)C,-1222.09532
OC(CC(C)C)C,-1222.14515
OC(CCC)(C)C,-1222.30461
OCC(CCC)C,-1221.93543
CCC(C)(C)CO,-1221.95247
OCCC(C)(C)C,-1222.0907
OCC(CC)CC,-1221.91802
CC(O)C(C)CC,-1222.07993
OC(CC)(CC)C,-1222.23575
CC(O)(C)C(C)C,-1222.27066
C1CCCCC1O,-1194.83555
OCCCCCCC,-1372.01522
CCCCC(O)CC,-1372.10888
CCCC(O)CCC,-1372.16744
CC(O)(C)CC(C)C,-1372.23314
OCC(C)(C)CCC,-1371.89406
OCCCC(C)(C)C,-1372.04142
CC(O)CCC(C)C,-1372.11781
CCCCC(O)(C)C,-1372.26739
CC(C)(C)C(O)CC,-1372.16983
CCC(O)(C)CCC,-1372.12797
CC(O)(C)C(C)CC,-1372.20292
CC(C)C(C)(O)CC,-1372.1346
OC(CC)(CC)CC,-1372.13836
OCCCCCCCC,-1521.77141
OC(CCCCCC)C,-1522.01181
OCC(CCCC)CC,-1521.74461
CCCCC(C)C(C)O,-1522.08285
CC(C)(C)C(O)(C)CC,-1522.10276
CC(O)(C)CCCCC,-1522.21187
c1ccccc1CCO,-1412.78715
OC(c(cccc1)c1)c(cccc2)c2,-2053.56586
OCCCCCCCCCCCC,-2121.68794
OCCCc(cccc1)c1,-1562.83891
OCCOc(cccc1)c1,-1707.78928
OCCCCCCCCC,-1671.79643
OC(CCC(C1)C)C1,-1345.13131
c1c(Cl)c(CO)c(Cl)cc1,-1769.94795
Oc(cccc1)c1,-1113.0198
Oc(cccc1O)c1,-1408.52614
c1cc(O)ccc1O,-1408.38657
Oc(c(ccc1)C)c1,-1263.12805
c1ccccc1CO,-1262.82633
c1cc(C)ccc1O,-1263.15078
OCc(c(O)ccc1)c1,-1558.26844
OC(c1ccccc1)C,-1412.93652
c1cc(C)cc(C)c1O,-1413.26449
c1c(C)cc(C)cc1O,-1413.36803
Oc(ccc(c1)C(C)(C)C)c1,-1712.98289
Oc(ccc(c(cccc1)c1)c2)c2,-1903.83955
Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1,-2649.04347
Oc(c(c(ccc1)cc2)c1)c2,-1631.27015
Oc(c(c(c(O)cc1)cc2)c1)c2,-1926.62587
Oc(c(ccc1)CC)c1,-1413.04332
Oc(c(c(cccc1)c1)ccc2)c2,-1903.85598
CCC=O,-744.72854
CCCCC=O,-1044.69772
O=CCCCCC,-1194.63598
O=CCCCCCC,-1344.56735
O=CCCCCCCC,-1494.48702
O=CC=C,-716.77596
O=CC=CC,-867.01913
O=Cc(cccc1)c1,-1235.41116
O=Cc(ccc(OCO1)c12)c2,-1948.16003
O=C(CC)C,-895.10746
O=C(CCC)C,-1045.0546
O=C(CCCC)C,-1195.03647
O=C(CC(C)C)C,-1195.06426
O=C(CCCCC)C,-1344.98598
O=C(CCC)CCC,-1344.93539
O=C(CCCCCC)C,-1494.93008
O=C(CCCC)CCCC,-1644.87885
O=C(C=C)CCC,-1167.04718
O=C(C=C(CC1(C)C)C)C1,-1590.40889
O=C(CCC(C)C)C,-1345.02039
O=C(c(cccc1)c1)CC,-1535.64817
CC(=O)CC(=O)C,-1313.27402
O=C(CCCCCCCC)C,-1794.77499
O=C(C(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2)C4)(C3)C)C4)C,-3576.39512
O=C(c(cccc1)c1)C,-1385.73595
O=C(c(c(C(=O)c1cccc2)ccc3)c3)c12,-2417.43797
CC(=O)O,-890.97349
OC(=O)C(=O)O,-1454.03348
CCCC(=O)O,-1190.87277
O=C(O)CCCC(=O)O,-1904.80391
O=C(O)CCCCC,-1490.7873
O=C(O)CCCCC(=O)O,-2054.77009
O=C(O)CCCCCCC,-1790.67695
O=C(O)CCCCCCCCCCC,-2390.51153
O=C(O)C(=C)C,-1163.04377
O=C(O)C=CC=CC,-1435.39312
O=C(O)c(cccc1)c1,-1531.51267
c1cc(C)ccc1C(=O)O,-1681.69908
c1cccc(C)c1C(=O)O,-1681.66997
O=C(O)Cc(cccc1)c1,-1681.54363
O=C(O)c(c(ccc1)C(=O)O)c1,-2245.23642
O=C(O)CCCCCCCCCCCCCCC,-2990.3422
O=C(O)C(O)(c(cccc1)c1)c(cccc2)c2,-2767.28272
O=C(OC(C1C(C2(CC(O)(C3=C)CC4)C3)C(=O)O)(C24)C=CC5O)C15C,-4402.43893
O=C(O)C(C)C,-1190.86452
O=C(O)C(CC)CC,-1490.70961
CCCC(CCC)C(O)=O,-1790.70626
O=C(O)C(CCCC1)C1,-1613.51443
O=C(O)COc(cccc1)c1,-1976.31202
O=C(O)CCCCCCCCCC,-2240.57096
O=C(O)CCCCCCCCC=C,-2212.73595
O=C(NCC(=O)O)c(cccc1)c1,-2299.54344
OC(=O)c1ccsc1,-1435.40471
O=C(O)C(OC=C1)=C1,-1553.22608
O=COC,-890.18282
O=C(OC)C,-1040.48377
O=C(OCC)C,-1190.56099
O=COCCC,-1190.24845
O=C(OC)CC,-1190.41367
O=C(OCCC)C,-1340.49909
O=C(OC)CCC,-1340.397
O=COCC(C)C,-1340.21035
O=C(OC(C)C)C,-1340.67593
O=C(OCCCC)C,-1490.50199
O=C(OC)CCCC,-1490.33525
O=C(OCC(C)C)C=C,-1612.4517
O=C(OCC)CC(=O)OCC,-2203.89857
O=C(OCCCCC)C,-1640.379
O=C(OC)CCCCC,-1640.2553
O=C(OCC)CCCC,-1640.41153
O=C(OCCC(C)C)C,-1640.48085
O=C(OCCCCCC)C,-1790.37494
O=C(OC)CCCCCCC,-1940.21282
O=C(OCC)CCCCCC,-1940.34638
O=C(OCC(OC(=O)C)COC(=O)C)C,-3067.61443
O=C(OCC)CCCCCCC,-2090.28765
O=C(OCC)CCCCCCCCC,-2390.21018
O=C(OC)C=C,-1162.43258
O=C(OCC)C=C,-1312.50562
O=C(OC)C(=C)C,-1312.55964
O=C(OCC)c(cccc1)c1,-1831.09443
O=C(OC)c(c(ccc1)C(=O)OC)c1,-2544.27096
O=C(OCCC)c(cccc1)c1,-1981.03316
O=C(OCC)c(c(ccc1)C(=O)OCC)c1,-2844.43519
O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1,-3444.29491
O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,-4643.69301
O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2,-3784.9588
COCOC,-1066.21644
COCCC,-921.62986
COC(C)C,-921.78988
COCCCC,-1071.59848
CCOCCC,-1071.70455
CCOC(C)C,-1071.83478
O(CCCC1)C1,-1044.7089
CCCOCCC,-1221.67823
O(C(C)C)C(C)C,-1221.93775
CCOCCOCC,-1516.49767
O(C(OCC)C)CC,-1516.82955
CCCCOCCCC,-1521.5954
CCOC=C,-894.0057
c1ccccc1Oc2ccccc2,-1903.29042
o2c1ccccc1oc3ccccc23,-2171.30671
Cc1cccc(c1)Oc2cccc(c2)C,-2203.62727
O(C1C)C1,-743.66333
O(CCC1)C1,-894.65676
O(C(CC1)C)C1,-1044.76042
O1C=CC=C1,-839.47208
o(c(c(c1cccc2)ccc3)c3)c12,-1876.22133
O=C(O)C(O)(CC(=O)O)CC(=O)O,-2913.79385
OCC1C(O)C(O)C(O)C(O)O1,-2671.27615
O1CC(O)C(O)C(O)C1(O)CO,-2671.30761
CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34,-4434.79159
C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1,-5036.63216
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-5002.8715
C1C2=CC(=O)C=CC2(C)C3C(O)CC4(C)C(O)(C(=O)CO)CCC4C3C1,-4434.33068
O=C(OC(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2SC(=O)C)C4)(C3)C)(C4)C5)C5,-4739.34714
O=C(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4,-3099.56241
C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1,-4439.64436
O=C(C=C(C(C(C(C(C(C(O)(C)C1)(C2)C)C1)C3)C2)(C4)C)C3)C4,-3453.58255
C1C(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1,-3276.47607
O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-6318.55682
CC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-3871.79983
O=C1C=C2CCC3C4CC5OC(C)(C)OC5(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1,-5604.47014
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-5181.45403
C1=CC(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-5036.50662
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4741.25754
C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1,-5604.72651
C1=CC(=O)C=C2CCC3C4CC(C)C(OC(=O)CCCC)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-6054.61061
O(c(c(O)ccc1)c1)C,-1557.84881
O=C(O)c(ccc(O)c1)c1,-1827.02312
O=Cc(ccc(O)c1)c1,-1530.91606
O=Cc(ccc(OC)c1)c1,-1680.43605
O(C(C(O)C(O)C1O)CO)C1Oc(c(ccc2)CO)c2,-3906.68635
O=C(Oc(cccc1)c1)c(c(O)ccc2)c2,-2617.06089
ClCC(O)CCl,-1279.12314
FC(F)(F)C(O)C,-2129.50703
Oc(ccc(c1)Cl)c1,-1366.56874
c1ccc(Cl)cc1O,-1366.58423
Oc(ccc(c1)Br)c1,-1321.96969
c1cc(Cl)cc(Cl)c1O,-1619.9773
c1c(Cl)c(Cl)cc(Cl)c1O,-1873.41063
Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,-2380.12651
c1cc(Cl)c(C)cc1O,-1516.77537
O=C(O)CCl,-1144.1446
O=C(O)c(c(ccc1)Cl)c1,-1784.9778
O=C(O)c(cccc1Cl)c1,-1785.02043
ClCCOCCCl,-1428.66722
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-3558.50414
COc1c(Cl)ccc(Cl)c1C(O)=O,-2483.29425
CCN(CC)CC,-1126.03075
CCCNCCC,-1126.17712
CCCCCCCN,-1276.2897
CN(C)C,-676.09937
CCCN(CCC)CCC,-1575.83954
NCC(CCCC)CC,-1426.31797
CCCCNCCCC,-1426.15405
c1ccccc1N,-1017.52571
c1cccc(N)c1N,-1217.32307
c1cc(N)ccc1N,-1217.36633
c1cccc(C)c1N,-1167.60876
c1cc(C)ccc1N,-1167.64792
c1ccc(C)cc1N,-1167.69739
c1ccccc1CN,-1167.15159
c1ccccc1NCC,-1317.24284
c1ccccc1N(CC)CC,-1616.95659
Nc(ccc(c(ccc(N)c1)c1)c2)c2,-2008.3014
c1ccccc1Nc2ccccc2,-1808.06491
Nc(ccc(c1)Cc(ccc(N)c2)c2)c1,-2158.22506
N(N)c(cccc1)c1,-1216.44094
c1ccccn1,-867.33432
c1ccc(C)c(C)n1,-1167.62604
c1cc(C)cc(C)n1,-1167.69614
Cc1cccc(C)n1,-1167.67751
c1cc(C)c(C)cn1,-1167.64332
c1c(C)cc(C)cn1,-1167.64945
n(c(c(ccc1)cc2)c1)c2,-1385.54625
n(c(ccc1)c(nccc2)c2)c1,-1707.47871
n(ccc(c1)c(ccnc2)c2)c1,-1707.89818
n(cccc1C(N(CC2)C)C2)c1,-1789.34001
NNC(=O)c1ccncc1,-1684.50752
O=C(N)c(cccn1)c1,-1485.65642
n(cccc1CO)c1,-1312.63186
O=C(N)c(nccn1)c1,-1535.24938
n(cccn1)c1,-917.12025
c1ccc2c(c1)ccc3ncccc23,-1903.86856
c1ccc2ncsc2c1,-1289.66902
s1cccc1,-721.46795
n(c(c(ccc1)cc2)c1)c2c(nc(c(ccc3)c4)c3)c4,-2744.18488
n(c(c(ccc1)cc2)c1O)c2,-1681.06381
o(c(c(n1)ccc2)c2)c1,-1407.60606
n(nccc1)c1,-916.55879
c1cc2ncccc2c(O)c1,-1681.0013
C1(C)=CSC=C1,-871.62928
C1=CSC(CC)=C1,-1021.61807
Cc1cc(O)no1,-1333.73668
O=C(N(N(C1=O)c(cccc2)c2)c(cccc3)c3)C1CCCC,-3566.04662
COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3,-3739.27891
CN(C)CCCN2c1ccccc1CCc3ccccc23,-3029.5961
CN(C)CCCN2c1ccccc1Sc3ccc(Cl)cc23,-3160.52017
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-2949.89327
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2648.86023
CC(C)(S)C(N)C(O)=O,-1717.17625
OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Cl)cc3,-4399.31077
CN2C(=O)NC(=O)C(C)(C1=CCCCC1)C2=O,-2949.72624
Oc(ccc(C(=C(c(ccc(O)c1)c1)CC)CC)c2)c2,-3071.58622
O=C(NC(C(O)c(ccc(N(=O)=O)c1)c1)CO)C(Cl)Cl,-3893.46041
O=C(N(c(c(C1(C(N(C2)CC(C3C4C5OC6)=C6)C3)C2)ccc7)c7)C14)C5,-3838.23796
CCC1(CC)C(=O)NC(=O)NC1=O,-2404.85332
O=C(OCC(CCC)(C)COC(=O)N)N,-2903.84663
O=S(=O)(Nc(nc(cc1C)C)n1)c(ccc(N)c2)c2,-3175.71364
c1ccccc1N2C(=O)C(N(C)C)=C(C)N2C,-2678.86649
c1ccc2Sc3ccccc3N(CCCN(C)C)c2c1,-2906.90748
O=S(=O)(N)c(c(cc(NCNS1(=O)=O)c12)Cl)c2,-3328.25613
NS(=O)(=O)c1c(Cl)cc2N=CNS(=O)(=O)c2c1,-3300.95375
O=C(OCCN(CC)CC)c(ccc(N)c1)c1,-2830.16192
c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1,-2906.88312
O=C1NCCN1c2ncc(s2)N(=O)=O,-2622.07297
CC(=O)Nc1ccc(OCC)cc1,-2180.9457
O=S(=O)(N)c(ccc(N)c1)c1,-1984.94324
OCCN4CCN(CCCN2c1ccccc1Sc3ccc(cc23)C(F)(F)F)CC4,-5481.1937
c12ncnc(N)c1ccn2C3OC(CO)C(O)C3(O),-3465.99359
c1cc(N)ccc1S(=O)(=O)Nc2nccs2,-2729.42909
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2854.63305
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2676.68985
O=C1NC(=S)NC(=O)C1(CC=C)C(C)CCC,-2857.44973
CCCCC1(CC)C(=O)NC(=O)NC1=O,-2704.76289
O=C(NC(=O)C(Br)(CC)CC)N,-2222.06569
O=C(NC(=O)c1cccc2)c12,-1826.85045
c1cc2OC(=O)C=Cc2cc1,-1776.42246
